"월","대여소ID","월평균회전율","월최대회전율"
4,1636,100.14,119.05
4,1637,94,122.64
4,1639,58.66,100
4,1640,91.84,137.5
4,1641,42.83,76.67
4,1642,100.69,188.89
4,1643,137.9,185
4,1646,32.58,60.71
4,1650,70.7,91.67
4,1651,44.2,66.67
4,1652,32.09,60
4,1653,87.62,114.75
4,1654,50.78,90.48
4,1655,74.98,109.76
4,1656,91.72,122.73
4,1657,54.57,83.72
4,1659,80.55,127.59
4,1660,65.85,111.76
4,1661,90.77,136.36
4,1662,116.41,193.33
4,1663,120.2,180.56
4,1664,62.31,100
4,1665,85.71,119.05
4,1666,83.29,108.33
4,1667,76.36,135
4,1668,96.96,120.59
4,1669,89.73,120.45
4,1670,77.92,110.2
4,1671,83.81,144.12
4,1672,66.06,93.75
4,1673,84.74,105
4,1674,110.02,140.62
4,1675,35.92,64.71
4,1677,80.06,120
4,1678,48.51,85.71
4,1679,43.57,84
4,1680,28.76,57.14
4,1681,76.6,125
4,1682,69.88,100
4,1683,81.12,155.56
4,1684,95.97,133.33
4,1685,80.29,115.79
4,1686,103.96,128.57
4,1688,93.26,129.03
4,1689,74.91,106.67
4,1690,90.37,135.29
4,1691,77.54,106.67
4,1692,97.39,153.12
4,1693,41.54,85
5,1601,141.78,175
5,1602,105.46,130.43
5,1603,117.57,150
5,1605,108.52,142.86
5,1606,115.55,209.09
5,1608,108.7,139.02
5,1610,107.83,132.63
5,1611,91.21,111.86
5,1616,99.03,125
5,1617,71.09,78.95
5,1619,88.68,100
5,1620,98.54,125.71
5,1623,84.83,106.33
5,1625,94.21,113.04
5,1627,85.68,102.33
5,1628,68.68,88.46
5,1630,86.83,126.32
5,1634,71.87,94.44
5,1635,55.21,85.71
5,1636,109.4,121.05
5,1637,102.96,120.22
5,1639,82.49,94.44
5,1640,113.47,173.91
5,1641,64.9,83.78
5,1642,105.31,138.71
5,1643,151.9,237.5
5,1646,60.37,93.33
5,1650,86.76,105.15
5,1651,59.98,80
5,1652,52.06,80
5,1653,91.32,113.79
5,1654,58.96,86.96
5,1655,91.45,135.9
5,1656,97.03,110.64
5,1657,76.9,111.11
5,1659,91.58,120.83
5,1660,75.19,104.35
5,1661,94.57,111.11
5,1662,139.54,188.37
5,1663,131.77,183.33
5,1664,72.65,100
5,1665,93.67,128.57
5,1666,102.73,128.26
5,1667,93.4,135.29
5,1668,102.14,123.75
5,1669,104.83,130
5,1670,89.98,103.85
5,1671,103.56,139.02
5,1672,70.57,83.33
5,1673,91.99,108.11
5,1674,138.95,177.55
5,1675,51.98,93.33
5,1677,91.8,121.74
5,1678,69.29,103.03
5,1679,59.4,105.26
5,1680,43.12,112.5
5,1681,89.14,125
5,1682,74.95,103.45
5,1683,86.64,111.9
5,1684,115.92,144.44
5,1685,92.87,130.77
5,1686,129.97,163.16
5,1688,105.51,126.19
5,1689,90.14,113.04
5,1690,117.17,177.27
5,1691,95.97,130.43
5,1692,108.91,160
5,1693,65.36,104.76
6,1601,153.15,184.29
6,1602,105.24,147.73
6,1603,105.93,136.67
6,1605,98.15,148.89
6,1606,117.41,172.73
6,1608,110.77,134.43
6,1610,110.63,135.06
6,1611,95.76,114.29
6,1616,104.33,140.3
6,1617,77.42,100
6,1619,92.78,110.77
6,1620,93.2,108.77
6,1623,91.31,112.39
6,1625,97.74,105.11
6,1627,90.01,124.14
6,1628,71.04,124
6,1630,86.86,141.67
6,1634,76.38,105.88
6,1635,53.73,92
6,1636,108.11,128.16
6,1637,101.82,123.71
6,1639,77.95,124
6,1640,99.04,134.15
6,1641,59.32,90.62
6,1642,108.32,148.28
