"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53"
"1650",732,360,50,109,1765,214,236,428,505,138,898,0,67,122,92,606,26,231,252,77,43,626,283,174,18,799,329,75,162,289,106,97,460,186,193,423,362,14,378,288,74,29,54,11,94,147,498,184,52,0,149,130,6
"1651",676,318,39,0,552,194,264,369,520,118,315,0,62,118,105,766,21,259,320,83,25,600,247,161,84,806,294,94,159,258,117,15,696,161,220,676,412,36,521,500,46,28,118,37,27,150,354,194,52,108,159,121,42
"1652",471,279,50,95,812,169,324,358,463,127,0,0,75,106,84,756,21,93,328,76,36,683,288,180,118,1101,236,103,154,240,125,66,669,175,281,660,301,40,111,675,42,35,119,33,26,205,646,116,82,325,274,35,49
"1653",804,182,71,335,1176,34,340,235,433,111,286,0,59,125,55,649,18,0,95,57,56,545,243,150,35,937,240,114,182,280,146,126,684,135,226,743,329,37,534,585,52,68,81,19,55,57,823,121,92,338,244,34,68
"1654",1143,193,91,317,1240,103,478,410,259,177,922,0,14,143,54,640,16,89,140,46,51,521,205,155,0,318,216,123,160,273,116,35,545,147,264,596,359,40,754,934,37,28,103,12,56,182,843,113,76,288,220,58,20
"1655",984,175,131,290,1064,124,112,579,266,119,1036,0,7,207,80,403,29,254,208,12,48,315,221,152,34,437,199,141,125,278,88,0,118,145,265,489,382,40,222,885,54,59,84,19,60,311,1085,81,103,338,196,60,68
"1656",1458,135,144,202,1017,124,485,550,245,229,967,0,21,38,150,453,28,285,181,48,89,563,129,196,124,677,49,147,97,278,101,39,149,123,346,441,314,35,0,256,31,65,53,8,53,112,1104,85,106,299,259,69,103
"1657",1345,158,156,379,1082,153,648,763,213,223,1003,2,29,149,151,396,37,240,184,63,9,837,129,246,151,637,31,169,180,189,118,118,236,31,336,291,352,49,238,326,38,117,70,10,41,0,338,88,140,343,225,70,45
"1659",364,114,184,302,958,113,252,763,203,245,1073,1,25,246,163,307,44,279,164,47,84,866,112,245,184,654,49,43,248,156,153,141,222,54,446,464,186,38,706,494,6,61,41,16,54,100,409,83,181,288,236,58,0
"1660",545,102,239,254,873,66,0,173,223,248,945,0,27,99,122,313,42,279,151,63,130,1234,88,249,165,528,39,123,247,151,248,130,156,79,112,707,233,55,883,459,18,108,79,14,69,296,746,18,176,214,201,69,23
"1661",880,21,222,219,848,118,221,296,206,309,840,3,22,0,35,316,58,280,186,49,51,1178,93,270,158,630,26,258,344,121,281,97,192,68,551,601,235,60,842,400,26,24,108,13,95,357,774,55,233,363,135,105,98
"1662",983,41,312,308,468,154,655,451,40,247,640,3,25,85,47,272,52,253,141,45,0,310,91,303,188,568,33,106,288,108,277,136,244,101,644,950,172,79,852,373,28,87,151,11,124,291,567,87,60,499,131,106,110
"1663",713,54,71,340,528,186,749,482,76,400,1005,1,29,281,89,65,58,198,161,67,26,505,73,365,134,458,34,0,86,127,316,132,228,69,223,825,157,82,885,457,33,171,173,9,96,357,692,79,240,414,127,122,124
"1664",764,41,288,380,470,264,728,483,101,78,1461,0,53,325,89,126,108,279,84,73,107,654,14,304,102,393,49,60,116,67,439,101,181,51,0,208,164,85,784,421,25,89,180,5,104,488,817,74,373,608,100,116,85
"1665",837,50,418,529,314,286,753,442,108,392,1377,0,36,291,48,173,22,364,76,112,111,688,15,532,177,270,54,198,198,13,379,50,157,74,203,291,145,114,632,317,18,0,71,7,143,415,750,81,156,573,91,98,85
"1666",894,51,156,573,337,299,856,429,85,557,1962,0,34,320,47,181,102,389,64,118,71,614,15,131,229,304,78,251,165,70,517,101,107,90,621,484,34,124,453,326,19,47,65,6,137,338,586,72,0,149,98,132,72
