"월","대여소번호","월평균회전율","월최대회전율"
5,1667,55.56,91.67
5,1668,87.47,133.33
5,1669,71.31,110
5,1670,53.21,78.12
5,1671,62.9,125.93
5,1672,52.06,78.12
5,1673,88.3,121.74
5,1674,81.87,125.93
5,1675,17.08,41.18
5,1677,68.26,106.67
5,1678,36.54,68.97
5,1679,54.98,117.24
5,1680,29.93,107.69
5,1681,65.62,104.55
5,1682,51.28,75
6,1601,127.52,193.18
6,1602,81.61,112.5
6,1603,95.55,146.15
6,1605,79.21,107.41
6,1606,101.23,166.67
6,1608,101.82,126.87
6,1610,96.29,140.74
6,1611,85.15,102.99
6,1616,91.21,118.33
6,1617,51.75,76.74
6,1619,85.51,112.77
6,1620,73.02,103.23
6,1623,74.54,112.96
6,1625,84.4,111.59
6,1627,59.84,121.21
6,1628,55.56,86.36
6,1630,58.59,90
6,1634,55.51,100
6,1635,36.73,56.25
6,1636,101.45,138.3
6,1637,91.93,121.88
6,1639,59.63,129.41
6,1640,75.57,115
6,1641,43.85,73.08
6,1642,87.52,121.43
6,1643,148.71,241.18
6,1646,33.04,88.46
6,1650,69,90
6,1651,48.43,73.53
6,1652,35.49,73.33
6,1653,86.47,112.9
6,1654,40.11,58.33
6,1655,75.32,114.71
6,1656,89.8,120.51
6,1657,83.01,113.33
6,1659,62.68,90.91
6,1660,60.62,95
6,1661,70.55,94.44
6,1662,105.73,162.5
6,1663,101.68,143.1
6,1664,35.59,76.47
6,1665,64.51,110
6,1666,69.65,94.74
6,1667,64.26,104
6,1668,96.25,132.35
6,1669,88.18,127.27
6,1670,63.18,94.44
6,1671,72.64,114.29
6,1672,52.82,83.33
6,1673,96.22,133.33
6,1674,97.16,136
6,1675,29.86,53.33
6,1677,80.21,113.33
6,1678,37.24,86.96
6,1679,52.09,85.71
6,1680,34.4,85.71
6,1681,66.25,95.65
6,1682,65.48,82.35
7,1601,117.82,168.18
7,1602,66.85,103.23
7,1603,76.81,116
7,1605,67.92,113.64
7,1606,116.68,157.89
7,1608,95.69,137.5
7,1610,78.91,116.28
7,1611,83.76,111.54
7,1616,84.35,126.53
7,1617,48.97,92.65
7,1619,81.47,107.69
7,1620,64.81,100
7,1623,73.79,100
7,1625,82.8,108.77
7,1627,60.53,103.57
7,1628,58.49,100
7,1630,63.08,107.14
7,1634,51.5,94.59
7,1635,43.13,64.29
7,1636,94.57,137.21
7,1637,91,123.08
7,1639,53,87.5
7,1640,63.12,100
7,1641,44.01,76.67
7,1642,93.53,192.86
7,1643,125.22,235.71
7,1646,30.85,57.69
7,1650,61.6,88.46
7,1651,42.91,94.87
7,1652,32.07,83.33
7,1653,86.65,117.02
7,1654,44.21,66.67
7,1655,74.95,104.26
7,1656,91.67,128
7,1657,80.88,122.58
7,1659,65.06,106.06
7,1660,62.14,87.5
7,1661,67.03,100
7,1662,109.31,150
7,1663,96.14,138.3
7,1664,42.16,83.33
7,1665,64.81,90.91
7,1666,76.48,116.67
7,1667,66.34,120.83
7,1668,93.62,122.73
7,1669,80.83,111.54
7,1670,67.84,97.37
7,1671,51.02,74.07
7,1672,45.4,73.33
7,1673,95.72,126.32
7,1674,91.56,190.48
7,1675,31.17,76.47
7,1677,67.14,109.52
7,1678,29.5,65.38
7,1679,40.81,84.21
7,1680,25.63,68.42
7,1681,67.24,89.74
7,1682,61.55,84.85
8,1601,122.21,186.67
8,1602,71.36,108.33
8,1603,73.73,111.43
8,1605,62.05,125
8,1606,109.66,160
8,1608,92.37,117.24
8,1610,76.7,111.29
8,1611,78.54,107.14
8,1616,85.54,114.29
8,1617,39.55,75
8,1619,83.18,101.64
8,1620,66.43,117.39
8,1623,69.99,95.08
8,1625,83.78,107.02
8,1627,56.4,100
8,1628,45.27,86.67
8,1630,65.78,122.22
8,1634,55.4,80
8,1635,36.45,72.73
8,1636,89.51,128.89
8,1637,91.23,113.73
8,1639,55.27,88.24
8,1640,62.78,108.33
8,1641,37.45,70.37
8,1642,93.37,164
