"x"
18.5
192.5
54
44
440
8
81
162
435
29.333
146
56
82
12
40
543
219
215
8
35
388
24
10
519
512
20
109
86
33.5
55
12
311
10
16
16
106
302
101
23
221.5
91
20
30
523
196
339
20
31
163
91
11
197
81
31
30
103
33
390
21
26
41
388
54
73
156
15
346
177
142
9
234
15
211.5
435
466
91
122.667
132
286
8
18
14
98
48
40.25
7.5
246
324
144
10
9
220
311
66
28
166
245.5
165
82
492
13
294
53
227
9
9
79
487
69
41.5
272.5
119.333
396
30
8
306
110
167
314
381
14
414
230
62
391
316
9.667
122
461
114
50.5
162
344
184
232
16
8
11
82
44
163
363
159
44
165
186
150.5
107
482
267
82
132
49
353
508
246
23
153.333
125
216
68.667
118
440
8
376
481
8
354
229.5
76
44
409
337
89
189
73
20
226
42
153
9
412
51
171
467
41
77.5
329
21
71
361
117
31
23
278
135
21
15
169
179
19
114
32
257
335
235.5
392
347
166
12
55
19.667
259
112
114
312
248
215.5
435
54
109
28.25
31
77
62
37
74
195.5
92
61
20
355
246.5
200
20
100
335
14
321
315
317
95
12
188
139
17
331
427
188
104.5
8
124
269
14
181.5
181
388
102
162
444
286
282
173
95
211
28.5
180.5
57
367
466
13
285
263
432
335
53
417
170.5
181.5
108
411
258
130
174
85
12
159
174
100
367
193
13
102
61
121.667
419
48.5
8
264
17
21
149
91
54
52
390
60
8.667
116
149
272
11
12.5
70
312
299
9.5
11
30.5
358
197.5
48
495
74
38
357
538
65
177.5
17
8.5
60.5
68
41
216
116
104
361
83
10
27
58
456
49
382
14
10
267
68
27
274
238
185
375
62
29
79
18
31
44
66
310
177.5
264
75
20
8
227
181
303
32
353
354
82
425
16
141
95
449
13.333
71
282
50
225
20
124
35
14
194
28
139
179.5
102
242
159
89.5
228
103
396
37
56.5
85.333
43
313
44
36
144
23
95
16
203
19
375
67
17
31
71
203
91
36
39
63.5
200.5
55
28
39
66
324
248
49
8
40
368
160
18
44.5
73
236
342
72
134
15
118
68.5
303
209
39
15
21
57.5
166
110
43
8
15
35
51
39
20
65
28
20
24.5
74
78
68
130
23
17
75
70
123
59
12
14
35.5
36.5
18.5
25
27
25.5
77.5
10
38
33
9
59
138
62
119
34
27
19
9.667
18
29
67
158
32.333
80
16.25
67
116
31
47
8
53
29.5
19
63
20
9
11.5
19
26
25
92
85
145
7.5
114
75
14
36
23
19
132
12
73
54
25
36
35
144
17
59
28.333
91
77
28
15
10
32
8
17
22
8
66
56
19
79
17
21
87
57
28
36
11
34
72
