"자전거번호","대여날짜","고장구분"
"SPB-02457","2019-10-14","페달"
"SPB-02494","2019-03-13","기타 "
"SPB-02496","2019-09-30","체인"
"SPB-02497","2019-06-24","체인"
"SPB-02497","2019-06-25","타이어 "
"SPB-02497","2019-07-03","안장"
"SPB-02497","2019-07-03","타이어 "
"SPB-02497","2019-07-14","체인"
"SPB-02541","2019-01-07","타이어 "
"SPB-02560","2019-10-12","안장"
"SPB-02591","2019-10-29","안장"
"SPB-02593","2019-08-16","체인"
"SPB-02610","2019-10-19","체인"
"SPB-02635","2019-05-11","단말기"
"SPB-02644","2019-07-06","안장"
"SPB-02644","2019-07-07","기타 "
"SPB-02654","2019-02-07","타이어 "
"SPB-02666","2019-09-26","체인"
"SPB-02669","2019-08-23","타이어 "
"SPB-02677","2019-10-28","타이어 "
"SPB-02677","2019-10-31","타이어 "
"SPB-02677","2019-10-31","기타 "
"SPB-02743","2019-04-06","기타 "
"SPB-02752","2019-06-10","체인"
"SPB-02758","2019-07-24","페달"
"SPB-02772","2019-09-28","타이어 "
"SPB-02772","2019-10-18","안장"
"SPB-02776","2019-10-29","타이어 "
"SPB-02790","2019-07-03","체인"
"SPB-02821","2019-02-27","단말기"
"SPB-02840","2019-04-04","안장"
"SPB-02867","2019-10-21","체인"
"SPB-02878","2019-11-23","단말기"
"SPB-02881","2019-04-17","체인"
"SPB-02881","2019-04-22","페달"
"SPB-02897","2019-07-16","단말기"
"SPB-02917","2019-01-30","안장"
"SPB-02922","2019-08-10","기타 "
"SPB-02922","2019-08-10","체인"
"SPB-02922","2019-08-10","타이어 "
"SPB-02933","2019-11-07","체인"
"SPB-02941","2019-11-02","타이어 "
"SPB-02949","2019-09-27","체인"
"SPB-02949","2019-09-27","페달"
"SPB-02963","2019-11-05","기타 "
"SPB-02977","2019-09-02","기타 "
"SPB-02988","2019-06-14","기타 "
"SPB-02988","2019-06-14","체인"
"SPB-02988","2019-07-29","단말기"
"SPB-02988","2019-08-20","안장"
"SPB-02999","2019-09-27","안장"
"SPB-03000","2019-05-09","체인"
"SPB-03000","2019-05-09","페달"
"SPB-03011","2019-09-25","단말기"
"SPB-03023","2019-05-09","체인"
"SPB-03055","2019-01-22","단말기"
"SPB-03055","2019-03-18","타이어 "
"SPB-03065","2019-07-18","단말기"
"SPB-03118","2019-07-16","체인"
"SPB-03131","2019-10-08","타이어 "
"SPB-03147","2019-08-01","타이어 "
"SPB-03162","2019-10-04","타이어 "
"SPB-03163","2019-09-15","단말기"
"SPB-03163","2019-09-15","타이어 "
"SPB-03169","2019-10-01","페달"
"SPB-03177","2019-06-11","기타 "
"SPB-03177","2019-06-11","페달"
"SPB-03199","2019-09-24","기타 "
"SPB-03244","2019-10-16","단말기"
"SPB-03245","2019-12-06","기타 "
"SPB-03259","2019-08-10","단말기"
"SPB-03276","2019-11-12","타이어 "
"SPB-03288","2019-05-07","타이어 "
"SPB-03288","2019-05-08","타이어 "
"SPB-03291","2019-11-04","체인"
"SPB-03294","2019-10-18","타이어 "
"SPB-03310","2019-08-31","안장"
"SPB-03314","2019-08-12","체인"
"SPB-03315","2019-12-14","타이어 "
"SPB-03326","2019-06-30","체인"
"SPB-03326","2019-06-30","페달"
"SPB-03397","2019-11-14","체인"
"SPB-03411","2019-10-06","안장"
"SPB-03411","2019-10-06","페달"
"SPB-03417","2019-10-21","타이어 "
"SPB-03417","2019-10-31","단말기"
"SPB-03423","2019-04-08","타이어 "
"SPB-03427","2019-05-06","안장"
"SPB-03439","2019-09-05","체인"
