"자전거번호","대여날짜","고장구분"
"SPB-06475","2019-04-20","안장"
"SPB-06477","2019-06-15","타이어 "
"SPB-06498","2019-09-30","기타 "
"SPB-06498","2019-10-09","안장"
"SPB-06515","2019-08-10","단말기"
"SPB-06518","2019-06-20","페달"
"SPB-06530","2019-09-17","타이어 "
"SPB-06538","2019-07-30","타이어 "
"SPB-06543","2019-04-23","기타 "
"SPB-06546","2019-10-31","단말기"
"SPB-06550","2019-07-13","안장"
"SPB-06552","2019-11-02","안장"
"SPB-06576","2019-11-07","기타 "
"SPB-06579","2019-11-05","단말기"
"SPB-06580","2019-04-19","안장"
"SPB-06580","2019-04-19","체인"
"SPB-06582","2019-07-14","안장"
"SPB-06584","2019-10-21","체인"
"SPB-06584","2019-10-21","페달"
"SPB-06587","2019-01-31","타이어 "
"SPB-06587","2019-01-31","안장"
"SPB-06587","2019-04-07","안장"
"SPB-06591","2019-04-18","체인"
"SPB-06595","2019-10-20","체인"
"SPB-06595","2019-10-26","체인"
"SPB-06608","2019-09-11","타이어 "
"SPB-06613","2019-08-19","타이어 "
"SPB-06613","2019-08-28","안장"
"SPB-06613","2019-10-29","기타 "
"SPB-06613","2019-11-11","타이어 "
"SPB-06632","2019-06-19","타이어 "
"SPB-06638","2019-09-16","안장"
"SPB-06654","2019-09-01","체인"
"SPB-06657","2019-10-31","안장"
"SPB-06664","2019-04-18","기타 "
"SPB-06684","2019-05-08","단말기"
"SPB-06684","2019-05-15","단말기"
"SPB-06685","2019-08-26","기타 "
"SPB-06689","2019-01-19","단말기"
"SPB-06689","2019-07-04","단말기"
"SPB-06691","2019-10-28","체인"
"SPB-06691","2019-10-31","기타 "
"SPB-06699","2019-07-24","기타 "
"SPB-06701","2019-05-12","체인"
"SPB-06716","2019-10-05","페달"
"SPB-06734","2019-11-07","기타 "
"SPB-06737","2019-03-09","기타 "
"SPB-06737","2019-08-21","페달"
"SPB-06738","2019-08-16","기타 "
"SPB-06742","2019-08-01","단말기"
"SPB-06781","2019-06-02","기타 "
"SPB-06781","2019-06-02","단말기"
"SPB-06781","2019-08-23","페달"
"SPB-06787","2019-09-17","타이어 "
"SPB-06801","2019-07-07","기타 "
"SPB-06801","2019-07-20","타이어 "
"SPB-06804","2019-10-29","타이어 "
"SPB-06810","2019-09-19","안장"
"SPB-06819","2019-10-18","타이어 "
"SPB-06833","2019-11-09","체인"
"SPB-06845","2019-07-22","체인"
"SPB-06849","2019-07-21","기타 "
"SPB-06855","2019-05-08","페달"
"SPB-06861","2019-08-20","안장"
"SPB-06881","2019-05-07","타이어 "
"SPB-06885","2019-08-06","체인"
"SPB-06887","2019-02-05","페달"
"SPB-06887","2019-02-05","기타 "
"SPB-06897","2019-06-01","체인"
"SPB-06897","2019-06-01","페달"
"SPB-06901","2019-09-14","안장"
"SPB-06914","2019-09-19","페달"
"SPB-06914","2019-09-19","체인"
"SPB-06927","2019-10-16","체인"
"SPB-06936","2019-08-31","체인"
"SPB-06936","2019-08-31","타이어 "
"SPB-06938","2019-03-16","체인"
"SPB-06968","2019-07-22","페달"
"SPB-06969","2019-06-11","기타 "
"SPB-06972","2019-09-23","체인"
"SPB-06973","2019-08-31","페달"
"SPB-06973","2019-09-09","체인"
"SPB-06974","2019-10-09","기타 "
"SPB-06993","2019-09-22","안장"
"SPB-06995","2019-05-09","기타 "
"SPB-06995","2019-05-09","타이어 "
"SPB-06995","2019-10-11","체인"
"SPB-06995","2019-10-14","페달"
"SPB-06996","2019-08-24","단말기"
"SPB-07009","2019-10-05","체인"
"SPB-07009","2019-10-05","페달"
"SPB-07012","2019-11-01","단말기"
"SPB-07021","2019-08-19","체인"
"SPB-07021","2019-10-27","기타 "
"SPB-07024","2019-07-08","체인"
"SPB-07026","2019-09-26","페달"
"SPB-07029","2019-02-22","타이어 "
"SPB-07038","2019-09-14","체인"
"SPB-07045","2019-09-01","단말기"
"SPB-07052","2019-06-01","페달"
"SPB-07052","2019-06-03","페달"
"SPB-07052","2019-08-23","체인"
"SPB-07052","2019-08-23","페달"
"SPB-07060","2019-11-16","체인"
"SPB-07060","2019-11-23","체인"
"SPB-07061","2019-06-17","체인"
"SPB-07071","2019-04-03","체인"
"SPB-07086","2019-05-14","타이어 "
"SPB-07093","2019-07-03","체인"
"SPB-07094","2019-07-04","체인"
"SPB-07118","2019-11-12","안장"
"SPB-07120","2019-07-04","체인"
"SPB-07128","2019-11-11","체인"
"SPB-07129","2019-09-23","체인"
"SPB-07129","2019-10-01","체인"
"SPB-07130","2019-10-09","단말기"
"SPB-07133","2019-07-30","단말기"
"SPB-07145","2019-10-09","페달"
"SPB-07151","2019-07-04","안장"
"SPB-07152","2019-04-05","기타 "
"SPB-07152","2019-04-05","체인"
"SPB-07158","2019-10-03","안장"
"SPB-07164","2019-07-24","체인"
"SPB-07171","2019-09-26","안장"
"SPB-07172","2019-06-20","페달"
"SPB-07173","2019-08-28","안장"
"SPB-07185","2019-06-25","타이어 "
"SPB-07187","2019-12-01","타이어 "
"SPB-07193","2019-06-20","페달"
"SPB-07200","2019-10-25","체인"
"SPB-07204","2019-10-29","체인"
"SPB-07206","2019-10-07","타이어 "
"SPB-07212","2019-07-07","단말기"
"SPB-07222","2019-09-29","페달"
"SPB-07222","2019-10-01","체인"
"SPB-07224","2019-09-15","체인"
"SPB-07224","2019-09-15","페달"
"SPB-07226","2019-05-15","타이어 "
"SPB-07228","2019-10-12","타이어 "
"SPB-07238","2019-09-03","기타 "
"SPB-07239","2019-07-30","체인"
"SPB-07239","2019-08-04","체인"
"SPB-07241","2019-10-30","페달"
"SPB-07256","2019-11-16","단말기"
"SPB-07258","2019-10-12","기타 "
"SPB-07261","2019-12-22","체인"
"SPB-07266","2019-10-11","체인"
"SPB-07266","2019-10-25","체인"
"SPB-07267","2019-07-20","단말기"
"SPB-07267","2019-07-20","기타 "
"SPB-07269","2019-09-08","체인"
"SPB-07269","2019-10-08","타이어 "
"SPB-07272","2019-06-13","체인"
"SPB-07272","2019-08-14","체인"
"SPB-07279","2019-10-14","타이어 "
"SPB-07290","2019-12-11","기타 "
"SPB-07313","2019-06-15","단말기"
"SPB-07314","2019-09-17","페달"
"SPB-07318","2019-05-10","단말기"
"SPB-07329","2019-10-14","체인"
"SPB-07329","2019-10-31","체인"
"SPB-07329","2019-11-05","체인"
"SPB-07329","2019-11-05","페달"
"SPB-07329","2019-11-12","체인"
"SPB-07338","2019-10-26","체인"
"SPB-07338","2019-10-27","체인"
"SPB-07361","2019-10-24","타이어 "
"SPB-07361","2019-10-25","기타 "
"SPB-07377","2019-03-03","페달"
"SPB-07383","2019-04-04","기타 "
"SPB-07417","2019-04-16","기타 "
"SPB-07417","2019-08-16","타이어 "
"SPB-07428","2019-07-25","기타 "
"SPB-07435","2019-08-03","안장"
"SPB-07435","2019-08-03","타이어 "
"SPB-07448","2019-06-22","단말기"
"SPB-07469","2019-03-24","체인"
"SPB-07508","2019-09-27","단말기"
"SPB-07509","2019-06-24","체인"
"SPB-07514","2019-01-04","체인"
"SPB-07514","2019-01-04","페달"
"SPB-07518","2019-03-19","타이어 "
"SPB-07518","2019-04-07","안장"
"SPB-07524","2019-10-07","체인"
"SPB-07524","2019-10-11","체인"
"SPB-07542","2019-02-21","안장"
"SPB-07562","2019-06-24","체인"
"SPB-07576","2019-05-04","체인"
"SPB-07576","2019-05-04","페달"
"SPB-07576","2019-05-07","체인"
"SPB-07576","2019-05-07","페달"
"SPB-07576","2019-05-13","체인"
"SPB-07576","2019-05-13","페달"
"SPB-07583","2019-05-08","타이어 "
"SPB-07585","2019-09-19","기타 "
"SPB-07585","2019-09-30","단말기"
"SPB-07591","2019-09-20","타이어 "
"SPB-07600","2019-06-03","체인"
"SPB-07617","2019-07-08","단말기"
"SPB-07647","2019-10-10","기타 "
"SPB-07649","2019-07-19","페달"
"SPB-07649","2019-07-19","체인"
"SPB-07652","2019-09-23","타이어 "
"SPB-07653","2019-08-31","안장"
"SPB-07660","2019-10-29","안장"
"SPB-07679","2019-03-12","단말기"
"SPB-07686","2019-07-25","기타 "
"SPB-07691","2019-11-01","기타 "
"SPB-07700","2019-04-01","단말기"
"SPB-07700","2019-11-19","기타 "
"SPB-07712","2019-08-31","타이어 "
"SPB-07713","2019-09-23","기타 "
"SPB-07714","2019-07-24","기타 "
"SPB-07717","2019-10-01","안장"
"SPB-07721","2019-06-14","체인"
"SPB-07721","2019-06-30","기타 "
"SPB-07721","2019-06-30","단말기"
"SPB-07732","2019-06-12","기타 "
"SPB-07742","2019-05-13","안장"
"SPB-07746","2019-07-09","기타 "
"SPB-07757","2019-07-06","단말기"
"SPB-07769","2019-07-18","체인"
"SPB-07808","2019-06-10","체인"
"SPB-07827","2019-11-02","타이어 "
"SPB-07829","2019-10-08","타이어 "
"SPB-07850","2019-06-08","기타 "
"SPB-07867","2019-10-25","타이어 "
"SPB-07875","2019-07-10","체인"
"SPB-07878","2019-07-01","안장"
"SPB-07884","2019-09-27","타이어 "
"SPB-07893","2019-09-15","안장"
"SPB-07893","2019-09-23","기타 "
"SPB-07922","2019-10-06","단말기"
"SPB-07928","2019-04-17","체인"
"SPB-07928","2019-04-17","페달"
"SPB-07962","2019-08-30","페달"
"SPB-07970","2019-11-01","안장"
"SPB-07974","2019-08-18","타이어 "
"SPB-07978","2019-03-12","안장"
"SPB-07979","2019-10-17","기타 "
"SPB-07981","2019-10-01","안장"
"SPB-07981","2019-10-01","단말기"
"SPB-07981","2019-10-01","체인"
"SPB-07982","2019-11-05","타이어 "
"SPB-07988","2019-01-07","페달"
"SPB-07995","2019-12-15","기타 "
"SPB-07997","2019-06-08","기타 "
"SPB-08000","2019-06-08","기타 "
"SPB-08000","2019-06-19","단말기"
"SPB-08041","2019-11-09","단말기"
"SPB-08042","2019-08-20","단말기"
"SPB-08045","2019-04-16","기타 "
"SPB-08045","2019-04-16","체인"
"SPB-08060","2019-10-08","타이어 "
"SPB-08060","2019-12-29","타이어 "
"SPB-08094","2019-05-14","단말기"
"SPB-08110","2019-10-14","타이어 "
"SPB-08114","2019-06-19","체인"
"SPB-08117","2019-09-18","타이어 "
"SPB-08121","2019-08-01","타이어 "
"SPB-08122","2019-10-20","단말기"
"SPB-08123","2019-10-08","단말기"
"SPB-08135","2019-06-30","체인"
"SPB-08135","2019-06-30","페달"
"SPB-08146","2019-06-17","체인"
"SPB-08151","2019-09-05","안장"
"SPB-08154","2019-04-07","단말기"
"SPB-08159","2019-06-03","타이어 "
"SPB-08159","2019-11-09","페달"
"SPB-08159","2019-11-09","체인"
"SPB-08160","2019-07-06","기타 "
"SPB-08162","2019-09-05","단말기"
"SPB-08162","2019-09-05","안장"
"SPB-08162","2019-09-08","타이어 "
"SPB-08162","2019-09-08","체인"
"SPB-08193","2019-05-13","타이어 "
"SPB-08198","2019-10-20","안장"
"SPB-08198","2019-10-20","기타 "
"SPB-08198","2019-10-23","체인"
"SPB-08203","2019-07-05","단말기"
"SPB-08230","2019-06-19","단말기"
"SPB-08238","2019-04-15","단말기"
"SPB-08238","2019-09-27","안장"
"SPB-08242","2019-10-04","안장"
"SPB-08245","2019-08-14","단말기"
"SPB-08249","2019-10-23","기타 "
"SPB-08257","2019-10-14","안장"
"SPB-08267","2019-10-08","타이어 "
"SPB-08295","2019-10-17","기타 "
"SPB-08299","2019-05-10","체인"
"SPB-08312","2019-07-30","기타 "
"SPB-08323","2019-07-07","타이어 "
"SPB-08323","2019-07-14","체인"
"SPB-08324","2019-05-14","안장"
"SPB-08325","2019-01-26","단말기"
"SPB-08359","2019-04-21","체인"
"SPB-08364","2019-08-16","타이어 "
"SPB-08369","2019-07-08","체인"
"SPB-08373","2019-11-11","기타 "
"SPB-08373","2019-11-11","페달"
"SPB-08382","2019-06-06","체인"
"SPB-08391","2019-05-13","단말기"
"SPB-08396","2019-10-24","기타 "
"SPB-08400","2019-05-03","타이어 "
"SPB-08401","2019-06-03","타이어 "
"SPB-08410","2019-08-27","체인"
"SPB-08414","2019-11-23","타이어 "
"SPB-08420","2019-07-08","기타 "
"SPB-08420","2019-07-09","체인"
"SPB-08423","2019-09-20","단말기"
"SPB-08425","2019-08-31","단말기"
"SPB-08434","2019-04-22","체인"
"SPB-08447","2019-10-24","기타 "
"SPB-08449","2019-06-01","안장"
"SPB-08452","2019-08-23","단말기"
"SPB-08452","2019-08-23","기타 "
"SPB-08455","2019-10-23","체인"
"SPB-08461","2019-04-19","단말기"
"SPB-08480","2019-08-26","기타 "
"SPB-08499","2019-06-30","안장"
"SPB-08515","2019-06-02","단말기"
"SPB-08516","2019-07-03","타이어 "
"SPB-08525","2019-05-03","기타 "
"SPB-08534","2019-05-13","안장"
"SPB-08546","2019-06-30","타이어 "
"SPB-08559","2019-11-28","페달"
"SPB-08559","2019-11-28","체인"
"SPB-08567","2019-05-10","안장"
"SPB-08568","2019-12-17","기타 "
"SPB-08568","2019-12-17","단말기"
"SPB-08572","2019-11-28","타이어 "
"SPB-08580","2019-07-16","페달"
"SPB-08582","2019-02-15","단말기"
"SPB-08585","2019-11-29","단말기"
"SPB-08586","2019-08-21","체인"
"SPB-08586","2019-11-11","기타 "
"SPB-08586","2019-11-11","타이어 "
"SPB-08588","2019-06-24","타이어 "
"SPB-08600","2019-03-09","타이어 "
"SPB-08600","2019-07-19","페달"
"SPB-08605","2019-05-03","기타 "
"SPB-08609","2019-07-01","페달"
"SPB-08611","2019-09-05","페달"
"SPB-08616","2019-06-05","체인"
"SPB-08616","2019-07-24","타이어 "
"SPB-08642","2019-12-24","체인"
"SPB-08647","2019-09-30","기타 "
"SPB-08660","2019-10-01","체인"
"SPB-08668","2019-10-02","안장"
"SPB-08674","2019-08-25","체인"
"SPB-08678","2019-06-04","단말기"
"SPB-08683","2019-09-08","체인"
"SPB-08683","2019-09-09","기타 "
"SPB-08683","2019-09-09","단말기"
"SPB-08683","2019-09-11","체인"
"SPB-08687","2019-05-09","안장"
"SPB-08697","2019-10-15","타이어 "
"SPB-08704","2019-11-17","안장"
"SPB-08741","2019-04-15","안장"
"SPB-08749","2019-02-07","안장"
"SPB-08749","2019-10-11","체인"
"SPB-08780","2019-08-19","페달"
"SPB-08781","2019-06-04","체인"
"SPB-08783","2019-07-19","타이어 "
"SPB-08784","2019-09-21","페달"
"SPB-08784","2019-09-21","단말기"
"SPB-08802","2019-10-17","안장"
"SPB-08811","2019-10-12","기타 "
"SPB-08822","2019-06-03","단말기"
"SPB-08824","2019-09-18","타이어 "
"SPB-08826","2019-06-24","체인"
"SPB-08827","2019-10-05","단말기"
"SPB-08848","2019-07-24","안장"
"SPB-08849","2019-06-15","타이어 "
"SPB-08849","2019-07-08","기타 "
"SPB-08853","2019-07-09","타이어 "
"SPB-08858","2019-07-15","단말기"
"SPB-08860","2019-04-20","타이어 "
"SPB-08868","2019-11-07","안장"
"SPB-08868","2019-11-09","타이어 "
"SPB-08884","2019-06-23","체인"
"SPB-08905","2019-06-19","기타 "
"SPB-08905","2019-09-16","안장"
"SPB-08905","2019-09-19","안장"
"SPB-08907","2019-06-20","타이어 "
"SPB-08909","2019-05-13","단말기"
"SPB-08913","2019-10-20","체인"
"SPB-08923","2019-02-06","안장"
"SPB-08929","2019-08-14","기타 "
"SPB-08935","2019-04-23","단말기"
"SPB-08943","2019-02-22","단말기"
"SPB-08943","2019-04-03","기타 "
"SPB-08943","2019-10-30","타이어 "
"SPB-08952","2019-08-29","안장"
"SPB-08964","2019-10-11","단말기"
"SPB-08968","2019-06-07","단말기"
"SPB-08989","2019-10-21","체인"
"SPB-08989","2019-10-21","기타 "
"SPB-08995","2019-04-17","단말기"
"SPB-09003","2019-05-13","기타 "
"SPB-09004","2019-05-01","체인"
"SPB-09004","2019-05-01","기타 "
"SPB-09011","2019-07-29","타이어 "
"SPB-09011","2019-07-29","체인"
"SPB-09016","2019-09-03","단말기"
"SPB-09022","2019-12-02","체인"
"SPB-09025","2019-12-28","기타 "
"SPB-09034","2019-10-23","체인"
"SPB-09057","2019-09-05","기타 "
"SPB-09061","2019-05-03","단말기"
"SPB-09061","2019-06-09","기타 "
"SPB-09061","2019-09-29","단말기"
"SPB-09061","2019-11-25","타이어 "
"SPB-09061","2019-11-25","안장"
"SPB-09068","2019-05-08","단말기"
"SPB-09108","2019-10-16","타이어 "
"SPB-09112","2019-10-19","체인"
"SPB-09112","2019-10-19","페달"
"SPB-09123","2019-08-22","체인"
"SPB-09127","2019-07-02","단말기"
"SPB-09127","2019-07-05","단말기"
"SPB-09142","2019-04-17","기타 "
"SPB-09145","2019-08-13","체인"
"SPB-09146","2019-08-19","체인"
"SPB-09157","2019-10-19","타이어 "
"SPB-09168","2019-08-31","단말기"
"SPB-09172","2019-06-15","단말기"
"SPB-09176","2019-09-20","기타 "
"SPB-09190","2019-10-04","기타 "
"SPB-09190","2019-10-04","단말기"
"SPB-09199","2019-10-22","안장"
"SPB-09199","2019-10-24","타이어 "
"SPB-09199","2019-11-07","타이어 "
"SPB-09202","2019-10-04","단말기"
"SPB-09203","2019-06-23","단말기"
"SPB-09207","2019-09-16","타이어 "
"SPB-09207","2019-09-18","체인"
"SPB-09207","2019-09-24","체인"
"SPB-09221","2019-10-25","체인"
"SPB-09225","2019-09-08","안장"
"SPB-09241","2019-10-25","단말기"
"SPB-09243","2019-04-21","체인"
"SPB-09245","2019-06-07","단말기"
"SPB-09246","2019-10-03","단말기"
"SPB-09249","2019-10-01","체인"
"SPB-09249","2019-10-01","페달"
"SPB-09265","2019-07-03","단말기"
"SPB-09268","2019-03-25","단말기"
"SPB-09275","2019-06-03","단말기"
"SPB-09284","2019-09-14","체인"
"SPB-09289","2019-05-05","단말기"
"SPB-09300","2019-08-28","단말기"
"SPB-09310","2019-10-13","페달"
"SPB-09310","2019-10-13","기타 "
"SPB-09333","2019-09-30","체인"
"SPB-09334","2019-04-13","안장"
"SPB-09342","2019-09-11","단말기"
"SPB-09342","2019-09-15","타이어 "
"SPB-09362","2019-08-19","체인"
"SPB-09365","2019-10-23","기타 "
"SPB-09369","2019-10-03","기타 "
"SPB-09398","2019-10-12","안장"
"SPB-09401","2019-04-21","단말기"
"SPB-09411","2019-10-24","안장"
"SPB-09413","2019-12-04","타이어 "
"SPB-09414","2019-10-09","타이어 "
"SPB-09431","2019-11-25","기타 "
"SPB-09458","2019-10-23","안장"
"SPB-09458","2019-10-23","기타 "
"SPB-09460","2019-09-15","타이어 "
"SPB-09465","2019-06-01","타이어 "
"SPB-09465","2019-06-01","기타 "
"SPB-09470","2019-07-03","안장"
"SPB-09486","2019-06-13","기타 "
"SPB-09487","2019-06-01","타이어 "
"SPB-09487","2019-09-25","기타 "
"SPB-09492","2019-06-27","체인"
"SPB-09492","2019-07-04","페달"
"SPB-09515","2019-04-17","타이어 "
"SPB-09515","2019-04-19","타이어 "
"SPB-09522","2019-10-24","기타 "
"SPB-09522","2019-10-24","체인"
"SPB-09541","2019-06-14","타이어 "
"SPB-09543","2019-06-04","안장"
"SPB-09556","2019-07-22","체인"
"SPB-09559","2019-07-07","단말기"
"SPB-09570","2019-11-28","체인"
"SPB-09575","2019-09-11","체인"
"SPB-09575","2019-09-18","체인"
"SPB-09576","2019-05-12","기타 "
"SPB-09578","2019-09-19","안장"
"SPB-09581","2019-10-08","체인"
"SPB-09584","2019-11-13","타이어 "
"SPB-09602","2019-04-15","체인"
"SPB-09602","2019-04-15","안장"
"SPB-09604","2019-10-17","단말기"
"SPB-09606","2019-10-13","타이어 "
"SPB-09614","2019-07-22","체인"
"SPB-09625","2019-06-17","체인"
"SPB-09633","2019-08-30","페달"
"SPB-09638","2019-06-26","타이어 "
"SPB-09648","2019-08-27","단말기"
"SPB-09676","2019-10-13","안장"
"SPB-09735","2019-06-29","체인"
"SPB-09740","2019-10-24","기타 "
"SPB-09752","2019-10-16","기타 "
"SPB-09757","2019-04-23","페달"
"SPB-09757","2019-04-23","단말기"
"SPB-09767","2019-10-12","기타 "
"SPB-09775","2019-06-21","체인"
"SPB-09780","2019-04-15","체인"
"SPB-09780","2019-06-30","체인"
"SPB-09787","2019-12-17","체인"
"SPB-09795","2019-01-12","단말기"
"SPB-09806","2019-07-04","기타 "
"SPB-09810","2019-04-08","안장"
"SPB-09810","2019-04-17","단말기"
"SPB-09810","2019-07-05","단말기"
"SPB-09827","2019-08-28","안장"
"SPB-09840","2019-09-11","단말기"
"SPB-09847","2019-09-28","체인"
"SPB-09853","2019-11-08","기타 "
"SPB-09857","2019-05-05","기타 "
"SPB-09858","2019-06-19","체인"
"SPB-09863","2019-09-18","기타 "
"SPB-09876","2019-03-07","기타 "
"SPB-09884","2019-04-09","체인"
"SPB-09890","2019-09-15","단말기"
"SPB-09897","2019-05-01","단말기"
"SPB-09901","2019-02-12","기타 "
"SPB-09909","2019-10-10","안장"
"SPB-09909","2019-10-10","기타 "
"SPB-09911","2019-08-01","안장"
"SPB-09923","2019-09-01","체인"
"SPB-09923","2019-09-04","페달"
"SPB-09923","2019-09-04","체인"
"SPB-09927","2019-08-31","단말기"
"SPB-09929","2019-07-19","단말기"
"SPB-09931","2019-08-06","기타 "
"SPB-09933","2019-04-13","단말기"
"SPB-09942","2019-05-10","안장"
"SPB-09943","2019-09-29","체인"
"SPB-09943","2019-09-30","체인"
"SPB-09958","2019-10-30","타이어 "
"SPB-09963","2019-09-24","단말기"
"SPB-09967","2019-06-20","단말기"
"SPB-09977","2019-09-30","체인"
"SPB-09988","2019-08-05","타이어 "
"SPB-09995","2019-06-27","기타 "
"SPB-10000","2019-07-11","기타 "
"SPB-10022","2019-09-08","체인"
"SPB-10025","2019-08-02","단말기"
"SPB-10038","2019-04-03","타이어 "
"SPB-10041","2019-06-12","체인"
"SPB-10041","2019-09-09","단말기"
"SPB-10051","2019-07-11","타이어 "
"SPB-10054","2019-06-03","단말기"
"SPB-10062","2019-12-16","기타 "
"SPB-10062","2019-12-16","타이어 "
"SPB-10071","2019-04-09","타이어 "
"SPB-10074","2019-07-21","타이어 "
"SPB-10089","2019-08-19","안장"
"SPB-10098","2019-10-24","단말기"
"SPB-10098","2019-10-30","타이어 "
"SPB-10099","2019-07-20","단말기"
"SPB-10099","2019-10-01","단말기"
"SPB-10103","2019-04-16","단말기"
"SPB-10110","2019-09-26","기타 "
"SPB-10117","2019-07-08","체인"
"SPB-10122","2019-08-03","기타 "
"SPB-10124","2019-03-21","체인"
"SPB-10138","2019-09-28","단말기"
"SPB-10150","2019-08-28","체인"
"SPB-10165","2019-08-21","기타 "
"SPB-10171","2019-07-09","안장"
"SPB-10173","2019-10-28","타이어 "
"SPB-10200","2019-03-21","단말기"
"SPB-10213","2019-07-27","타이어 "
"SPB-10216","2019-10-29","기타 "
"SPB-10222","2019-10-11","체인"
"SPB-10238","2019-06-15","페달"
"SPB-10252","2019-06-04","페달"
"SPB-10252","2019-06-04","타이어 "
"SPB-10277","2019-05-05","체인"
"SPB-10280","2019-02-25","안장"
"SPB-10283","2019-11-27","단말기"
"SPB-10299","2019-08-30","안장"
"SPB-10321","2019-10-25","단말기"
"SPB-10323","2019-12-19","단말기"
"SPB-10324","2019-06-04","단말기"
"SPB-10333","2019-03-22","안장"
"SPB-10334","2019-11-04","기타 "
"SPB-10343","2019-07-13","안장"
"SPB-10363","2019-10-19","안장"
"SPB-10363","2019-10-19","체인"
"SPB-10368","2019-12-17","체인"
"SPB-10392","2019-07-31","안장"
"SPB-10405","2019-08-08","체인"
"SPB-10405","2019-08-28","체인"
"SPB-10407","2019-04-17","기타 "
"SPB-10407","2019-04-17","체인"
"SPB-10439","2019-10-10","단말기"
"SPB-10456","2019-03-20","기타 "
"SPB-10456","2019-11-01","단말기"
"SPB-10457","2019-07-01","타이어 "
"SPB-10480","2019-07-30","타이어 "
"SPB-10493","2019-06-28","기타 "
"SPB-10526","2019-05-09","기타 "
"SPB-10560","2019-06-03","타이어 "
"SPB-10560","2019-11-03","체인"
"SPB-10570","2019-06-20","체인"
"SPB-10592","2019-06-08","타이어 "
"SPB-10592","2019-06-17","기타 "
"SPB-10606","2019-05-08","단말기"
"SPB-10617","2019-09-23","안장"
"SPB-10623","2019-04-05","체인"
"SPB-10637","2019-09-17","체인"
"SPB-10655","2019-07-02","타이어 "
"SPB-10655","2019-07-02","체인"
"SPB-10655","2019-07-04","타이어 "
"SPB-10672","2019-11-12","단말기"
"SPB-10678","2019-03-17","단말기"
"SPB-10689","2019-06-16","기타 "
"SPB-10705","2019-11-09","안장"
"SPB-10719","2019-04-16","타이어 "
"SPB-10728","2019-12-06","체인"
"SPB-10728","2019-12-07","체인"
"SPB-10728","2019-12-07","페달"
"SPB-10738","2019-11-28","페달"
"SPB-10746","2019-08-05","페달"
"SPB-10757","2019-09-01","체인"
"SPB-10764","2019-08-27","안장"
"SPB-10771","2019-07-03","페달"
"SPB-10774","2019-07-02","체인"
"SPB-10774","2019-08-22","단말기"
"SPB-10777","2019-09-18","안장"
"SPB-10779","2019-08-31","체인"
"SPB-10790","2019-06-12","체인"
"SPB-10794","2019-11-06","타이어 "
"SPB-10794","2019-11-06","체인"
"SPB-10794","2019-11-11","타이어 "
"SPB-10794","2019-11-16","타이어 "
"SPB-10797","2019-06-05","단말기"
"SPB-10797","2019-06-05","기타 "
"SPB-10798","2019-06-08","타이어 "
"SPB-10815","2019-12-18","기타 "
"SPB-10822","2019-10-05","체인"
"SPB-10836","2019-10-10","체인"
"SPB-10836","2019-10-10","기타 "
"SPB-10846","2019-10-10","타이어 "
"SPB-10856","2019-06-16","페달"
"SPB-10859","2019-10-31","기타 "
"SPB-10861","2019-06-13","타이어 "
"SPB-10862","2019-06-24","단말기"
"SPB-10870","2019-06-17","타이어 "
"SPB-10873","2019-03-09","단말기"
"SPB-10873","2019-08-27","체인"
"SPB-10899","2019-07-21","단말기"
"SPB-10904","2019-07-27","단말기"
"SPB-10906","2019-11-08","타이어 "
"SPB-10906","2019-12-19","타이어 "
"SPB-10907","2019-04-04","안장"
"SPB-10907","2019-04-04","체인"
"SPB-10938","2019-05-08","단말기"
"SPB-10942","2019-01-16","체인"
"SPB-10943","2019-05-14","기타 "
"SPB-10943","2019-05-14","페달"
"SPB-10943","2019-05-14","단말기"
"SPB-10943","2019-05-15","체인"
"SPB-10943","2019-10-16","타이어 "
"SPB-10974","2019-11-30","체인"
"SPB-10975","2019-03-29","단말기"
"SPB-10989","2019-09-14","안장"
"SPB-11003","2019-10-31","기타 "
"SPB-11004","2019-04-02","안장"
"SPB-11014","2019-11-11","기타 "
"SPB-11026","2019-06-17","기타 "
"SPB-11042","2019-12-21","체인"
"SPB-11062","2019-07-15","안장"
"SPB-11063","2019-10-09","페달"
"SPB-11063","2019-10-15","안장"
"SPB-11069","2019-10-23","안장"
"SPB-11081","2019-07-02","체인"
"SPB-11094","2019-07-24","기타 "
"SPB-11102","2019-03-27","타이어 "
"SPB-11102","2019-04-17","안장"
"SPB-11123","2019-10-31","기타 "
"SPB-11136","2019-01-17","페달"
"SPB-11136","2019-08-16","체인"
"SPB-11136","2019-08-17","체인"
"SPB-11136","2019-08-18","체인"
"SPB-11143","2019-07-09","단말기"
"SPB-11157","2019-08-28","안장"
"SPB-11193","2019-09-09","단말기"
"SPB-11228","2019-08-30","기타 "
"SPB-11232","2019-04-01","단말기"
"SPB-11245","2019-05-11","단말기"
"SPB-11248","2019-10-13","단말기"
"SPB-11251","2019-02-12","기타 "
"SPB-11252","2019-03-17","안장"
"SPB-11252","2019-07-12","단말기"
"SPB-11262","2019-09-17","단말기"
"SPB-11266","2019-07-02","타이어 "
"SPB-11311","2019-09-27","단말기"
"SPB-11317","2019-08-27","타이어 "
"SPB-11317","2019-09-27","기타 "
"SPB-11317","2019-09-27","단말기"
"SPB-11328","2019-09-03","안장"
"SPB-11328","2019-09-26","체인"
